
SetupTitle, VO2 Read
PrimitiveTest, I/V Sweep
DataValue, 0.00062999999999999992, 2.9572000000000003, 4693.9682539682553
DataValue, 0.000615, 2.951, 4798.373983739838
DataValue, 0.0006, 2.9468, 4911.3333333333339
DataValue, 0.000585, 2.9401, 5025.8119658119658
DataValue, 0.00057, 2.9440000000000004, 5164.9122807017557
DataValue, 0.00055499999999999994, 2.9542, 5322.8828828828837
DataValue, 0.00054, 2.9588, 5479.2592592592591
DataValue, 0.000525, 2.9812000000000003, 5678.4761904761917
DataValue, 0.00050999999999999993, 2.99, 5862.7450980392168
DataValue, 0.000495, 3.0027000000000004, 6066.0606060606069
DataValue, 0.00047999999999999996, 3.0123, 6275.6250000000009
DataValue, 0.00046499999999999997, 3.0194, 6493.3333333333339
DataValue, 0.00045, 3.0335, 6741.1111111111113
DataValue, 0.000435, 3.0365, 6980.4597701149432
DataValue, 0.00041999999999999996, 3.0593000000000004, 7284.04761904762
DataValue, 0.000405, 3.0749000000000004, 7592.3456790123473
DataValue, 0.00039, 3.0873000000000004, 7916.1538461538476
DataValue, 0.000375, 3.0901, 8240.2666666666664
DataValue, 0.00035999999999999997, 3.1856000000000004, 8848.88888888889
DataValue, 0.000345, 3.2258000000000004, 9350.1449275362338
DataValue, 0.00033, 4.8849, 14802.727272727272
DataValue, 0.00031499999999999996, 4.7164, 14972.698412698415
DataValue, 0.0003, 4.5422, 15140.666666666668
DataValue, 0.000285, 4.3604, 15299.649122807019
DataValue, 0.00027, 4.1708000000000007, 15447.407407407411
DataValue, 0.00025499999999999996, 3.9747000000000003, 15587.058823529414
DataValue, 0.00023999999999999998, 3.7725000000000004, 15718.750000000004
DataValue, 0.000225, 3.5587000000000004, 15816.444444444447
DataValue, 0.00020999999999999998, 3.3449000000000004, 15928.095238095242
DataValue, 0.000195, 3.1255, 16028.205128205129
DataValue, 0.00017999999999999998, 2.902, 16122.222222222224
DataValue, 0.000165, 2.6749, 16211.515151515152
DataValue, 0.00015, 2.4435000000000002, 16290.000000000004
DataValue, 0.000135, 2.2028000000000003, 16317.037037037038
DataValue, 0.00011999999999999999, 1.96508, 16375.666666666668
DataValue, 0.00010499999999999999, 1.72492, 16427.809523809527
DataValue, 8.9999999999999992E-05, 1.48264, 16473.777777777777
DataValue, 7.5E-05, 1.23844, 16512.533333333333
DataValue, 5.9999999999999995E-05, 0.99252, 16542
DataValue, 4.4999999999999996E-05, 0.73892, 16420.444444444445
DataValue, 2.9999999999999997E-05, 0.49076, 16358.666666666668
DataValue, 1.4999999999999999E-05, 0.242, 16133.333333333334
DataValue, 0, -0.00796, 
